iter	Passed	Remaining
1037	317795	80291
1038	318077	79979
1039	318418	79681
1040	318735	79377
1041	319102	79085
1042	319440	78787
1043	319830	78501
1044	320158	78199
1045	320452	77889
1046	320766	77585
1047	321070	77277
1048	321333	76960
1049	321700	76668
1050	322106	76385
1051	322419	76079
1052	322705	75768
1053	322921	75440
1054	323241	75136
1055	323569	74835
1056	323920	74538
1057	324217	74229
1058	324568	73932
1059	324884	73628
1060	325189	73320
1061	325557	73027
1062	325885	72725
1063	326180	72416
1064	326500	72112
1065	326836	71811
1066	327203	71518
1067	327518	71212
1068	327824	70905
1069	328175	70608
1070	328507	70306
1071	328856	70008
1072	329181	69705
1073	329550	69411
1074	329854	69103
1075	330149	68793
1076	330477	68491
1077	330833	68194
1078	331153	67889
1079	331514	67593
1080	331848	67291
1081	332178	66988
1082	332622	66709
1083	333022	66419
1084	333487	66143
1085	333792	65835
1086	334091	65526
1087	334409	65220
1088	334823	64933
1089	335127	64625
1090	335479	64325
1091	335841	64028
1092	336134	63717
1093	336438	63409
1094	336711	63094
1095	337034	62790
1096	337404	62493
1097	337698	62183
1098	337983	61871
1099	338265	61558
1100	338601	61256
1101	338926	60951
1102	339265	60649
1103	339568	60340
1104	339873	60031
1105	340178	59723
1106	340448	59409
1107	340726	59096
1108	341065	58793
1109	341376	58486
1110	341673	58176
1111	341985	57869
1112	342276	57559
1113	342597	57253
1114	342908	56946
1115	343225	56639
1116	343590	56341
1117	343950	56042
1118	344324	55744
1119	344718	55450
1120	345012	55140
1121	345337	54834
1122	345622	54523
1123	345918	54213
1124	346226	53905
1125	346519	53594
1126	346827	53286
1127	347101	52973
1128	347438	52670
1129	347750	52362
1130	348100	52061
1131	348418	51754
1132	348739	51448
1133	349066	51143
1134	349384	50836
1135	349735	50534
1136	350053	50227
1137	350418	49927
1138	350734	49620
1139	351027	49310
1140	351376	49007
1141	351657	48695
1142	351988	48390
1143	352290	48081
1144	352627	47777
1145	352946	47470
1146	353277	47165
1147	353580	46856
1148	353902	46549
1149	354222	46243
1150	354561	45938
1151	354838	45626
1152	355138	45317
1153	355467	45011
1154	355790	44704
1155	356189	44407
1156	356506	44100
1157	356811	43791
1158	357106	43481
1159	357403	43172
1160	357713	42863
1161	357993	42552
1162	358350	42249
1163	358721	41948
1164	359064	41644
1165	359319	41329
1166	359733	41033
1167	360237	40746
1168	360614	40445
1169	360895	40133
1170	361237	39828
1171	361524	39517
1172	361835	39209
1173	362139	38899
1174	362433	38589
1175	362796	38286
1176	363161	37983
1177	363485	37676
1178	363851	37373
1179	364131	37061
1180	364440	36752
1181	364749	36444
1182	365085	36137
1183	365422	35831
1184	365697	35519
1185	366028	35212
1186	366341	34904
1187	366626	34593
1188	366894	34280
1189	367293	33980
1190	367642	33674
1191	368033	33373
1192	368378	33067
1193	368790	32767
1194	369239	32470
1195	369661	32171
1196	370144	31876
1197	370498	31571
1198	370863	31266
1199	371155	30955
1200	371470	30646
1201	371808	30339
1202	372105	30028
1203	372446	29721
1204	372789	29414
1205	373160	29109
1206	373454	28798
1207	373755	28488
1208	374079	28179
1209	374390	27870
1210	374691	27559
1211	374985	27249
1212	375303	26940
1213	375667	26634
1214	376025	26327
1215	376308	26016
1216	376611	25706
1217	376937	25397
1218	377298	25091
1219	377678	24786
1220	378079	24482
1221	378591	24185
1222	378952	23878
1223	379234	23566
1224	379540	23256
1225	379815	22943
1226	380127	22633
1227	380446	22324
1228	380799	22016
1229	381150	21709
1230	381458	21398
1231	381816	21091
1232	382114	20780
1233	382406	20469
1234	382676	20157
1235	383030	19849
1236	383379	19541
1237	383666	19229
1238	383973	18919
1239	384263	18608
1240	384581	18298
1241	384905	17989
1242	385187	17677
1243	385488	17367
1244	385887	17060
1245	386287	16754
1246	386673	16447
1247	386980	16137
1248	387361	15829
1249	387749	15522
1250	388137	15214
1251	388690	14913
1252	389248	14612
1253	389904	14314
1254	390497	14013
1255	390873	13703
1256	391488	13402
1257	391753	13089
1258	392206	12782
1259	392542	12471
1260	392965	12163
1261	393363	11853
1262	393832	11546
1263	394148	11234
1264	394495	10923
1265	394860	10612
1266	395265	10303
1267	395623	9992
1268	396207	9686
1269	396722	9378
1270	397169	9069
1271	397721	8761
1272	398042	8449
1273	398442	8137
1274	398713	7824
1275	399035	7511
1276	399349	7198
1277	399711	6886
1278	400001	6572
1279	400363	6260
1280	400753	5948
1281	401151	5636
1282	401639	5325
1283	402119	5014
1284	402521	4702
1285	403020	4390
1286	403398	4077
1287	403719	3764
1288	404120	3451
1289	404466	3137
1290	404789	2824
1291	405264	2511
1292	405801	2198
1293	406168	1884
1294	406739	1571
1295	407249	1257
1296	407693	943
1297	407952	629
1298	408451	314
1299	408784	0
