iter	Accuracy	Logloss
314	0.8527554535	0.3582972467
315	0.8527554535	0.3582302509
316	0.8527996114	0.3581632768
317	0.8528658483	0.3580724625
318	0.8529173658	0.3580022566
319	0.8529468044	0.3579222364
320	0.853020401	0.3578608161
321	0.8531234361	0.357782908
322	0.8530939975	0.3577143798
323	0.853145515	0.3576564896
324	0.8532191115	0.3575637135
325	0.8532485501	0.3574992485
326	0.8532779888	0.3574447947
327	0.853314787	0.3573839999
328	0.8533589449	0.3573336012
329	0.8533442256	0.3572879617
330	0.8533957432	0.3571894658
331	0.8534766993	0.3571104463
332	0.85346198	0.3570482309
333	0.8535208573	0.3569641431
334	0.8535429362	0.3569119663
335	0.8535723748	0.3568600987
336	0.8536018134	0.3567681004
337	0.8537195678	0.3567019561
338	0.8536974889	0.3566111527
339	0.8537195678	0.3565649347
340	0.8536827696	0.3565226621
341	0.8537195678	0.3564758272
342	0.8537784451	0.3563948471
343	0.8537931644	0.3563279994
344	0.8538299626	0.356273375
345	0.8539182784	0.356194226
346	0.853947717	0.3561415389
347	0.853947717	0.3560932945
348	0.8540360329	0.3560185425
349	0.8540728311	0.3559227297
350	0.854139068	0.355855385
351	0.854139068	0.3558175186
352	0.8541611469	0.3557603929
353	0.8542053048	0.355673687
354	0.8542273838	0.3556025619
355	0.8542200241	0.3555407239
356	0.8542421031	0.3554872083
357	0.854264182	0.3554239825
358	0.8543304189	0.3553746374
359	0.8543304189	0.3553088326
360	0.8543672172	0.3552559081
361	0.8543966558	0.3551941423
362	0.8544040154	0.3551421626
363	0.854433454	0.3550750674
364	0.8544702523	0.355032373
365	0.8545144102	0.3549513923
366	0.8545585681	0.3548790414
367	0.8545732874	0.354844661
368	0.8546395243	0.354786431
369	0.8546616032	0.3547328664
370	0.8546910418	0.3546589229
371	0.8547278401	0.3546137128
372	0.854771998	0.3545348521
373	0.8548529542	0.3544523169
374	0.85494127	0.3543713895
375	0.8549927875	0.3543128413
376	0.8549854279	0.3542410165
377	0.8550148665	0.3541781823
378	0.8549927875	0.3541284413
379	0.8549927875	0.3540527533
380	0.8550369455	0.3540167612
381	0.8550663841	0.3539387048
382	0.8551988578	0.3538874987
383	0.8552503753	0.3538138368
384	0.855257735	0.3537578085
385	0.8553313315	0.3536988228
386	0.8553975684	0.3536447171
387	0.8553681298	0.3535783067
388	0.855404928	0.3535298247
389	0.855427007	0.3534853378
390	0.8554122877	0.3534550588
391	0.8554417263	0.3533892751
392	0.8554932438	0.3533266522
393	0.8555374017	0.353268423
394	0.8555594807	0.3532103418
395	0.8556183579	0.3531582938
396	0.8556625158	0.353104125
397	0.8556183579	0.3530464292
398	0.8555889193	0.3529762566
399	0.8556404369	0.3529237576
400	0.8557140334	0.3528530365
401	0.855743472	0.3528099773
402	0.8558685861	0.3527411992
403	0.8558244282	0.3526905194
404	0.8558538668	0.3526285102
405	0.8559274633	0.352565682
406	0.8559569019	0.3525028452
407	0.8560231387	0.3524570707
408	0.8560157791	0.3524149561
409	0.8560672967	0.3523250616
410	0.8560746563	0.3523101315
411	0.8560672967	0.3522575716
412	0.8561408932	0.352215049
413	0.85620713	0.3521544751
414	0.856229209	0.3521037231
415	0.8562807265	0.3520462699
416	0.8563837617	0.3519732604
417	0.8564352792	0.3518992263
418	0.8564720775	0.3518584909
419	0.8564647178	0.3517946651
420	0.8564647178	0.351740462
421	0.8564499985	0.3516810664
422	0.8565162354	0.3516271433
423	0.8565603933	0.3515901762
424	0.8566413495	0.3515241055
425	0.8566192705	0.351481609
426	0.8566560688	0.3514179695
427	0.8567296653	0.3513503617
428	0.8567517442	0.3513250502
429	0.8567885425	0.3512826779
430	0.8568106214	0.3512081348
431	0.8568327004	0.3511732162
432	0.8569062969	0.3511178845
433	0.856884218	0.3510632709
434	0.8570829286	0.3509902159
435	0.8571123672	0.350940504
436	0.8571565251	0.3508818599
437	0.8571933233	0.3508047648
438	0.8572227619	0.3507433098
439	0.8572522005	0.3506820127
440	0.8572963584	0.3506101387
441	0.8573405164	0.3505379873
442	0.8573405164	0.350473349
443	0.857369955	0.3504429912
444	0.8573552357	0.3503787025
445	0.8574877094	0.3502933783
446	0.857517148	0.3502268603
447	0.8575245076	0.3501726643
448	0.8575465866	0.350090456
449	0.8575686655	0.350044157
450	0.8575686655	0.3499845542
451	0.8576128235	0.3499322151
452	0.8576496217	0.3498837924
453	0.8576937796	0.3498257921
454	0.8577084989	0.3497912034
455	0.8577379375	0.3497344904
456	0.8577820954	0.3496792567
457	0.8578041744	0.3496318708
458	0.857811534	0.3495770969
459	0.8578483323	0.3495275895
460	0.8578777709	0.3494822773
461	0.857855692	0.3494252322
462	0.8579366481	0.349364626
463	0.8580176043	0.3492962619
464	0.8580323236	0.3492510876
465	0.8580544025	0.3492064128
466	0.8580470429	0.3491363113
467	0.8580396832	0.3491061236
468	0.8581647973	0.3490485334
469	0.8581868763	0.3489879489
470	0.8582751921	0.3489257286
471	0.85831935	0.3488623984
472	0.85831935	0.3488157758
473	0.85831935	0.3487880242
474	0.8583414289	0.3487199893
475	0.8583855869	0.3486629429
